"Miltal","Modellår","Biltyp","Drivning","Hästkrafter","Färg","Län","Pris..Y.","Märkell"
"7710","2019","sedan","4","463","blå","västra götaland","349900","tesla_3"
"5718","2021","sedan","4","513","vit","skåne","499900","tesla_3"
"8898","2017","suv","4","423","vit","skåne","499900","tesla_x"
"13400","2016","halvkombi","4","320","vit","skåne","319900","tesla_s"
"1000","2022","suv","4","346","grå","skåne","509900","tesla_y"
"7995","2020","halvkombi","4","512","grå","skåne","579900","tesla_s"
"9997","2020","sedan","4","441","vit","skåne","349900","tesla_3"
"6998","2020","halvkombi","4","815","vit","skåne","899900","tesla_s"
"8998","2017","suv","4","525","grå","skåne","699900","tesla_x"
"3798","2019","halvkombi","4","772","svart","skåne","849900","tesla_s"
"3298","2020","sedan","4","513","vit","skåne","519900","tesla_3"
"13100","2018","halvkombi","4","334","vit","södermanland","390000","tesla_s"
"9198","2020","sedan","4","259","röd","södermanland","319900","tesla_3"
"6906","2018","halvkombi","4","525","svart","uppsala","399900","tesla_s"
"3163","2022","suv","4","346","vit","uppsala","589700","tesla_y"
"1600","2023","suv","4","300","vit","västmanland","506000","tesla_y"
"5800","2022","sedan","4","513","vit","västmanland","469000","tesla_3"
"3451","2021","sedan","4","325","vit","stockholm","362900","tesla_3"
"5866","2021","sedan","4","498","vit","stockholm","402900","tesla_3"
"5045","2021","suv","4","514","blå","stockholm","489900","tesla_y"
"2357","2021","suv","4","514","vit","stockholm","491900","tesla_y"
"7740","2021","suv","4","346","vit","stockholm","483900","tesla_y"
"3713","2019","sedan","4","441","blå","stockholm","376900","tesla_3"
"1605","2023","suv","2","204","svart","stockholm","388900","kia_niro"
"4550","2020","suv","2","204","vit","stockholm","299000","kia_niro"
"1100","2023","suv","2","239","grå","skåne","529000","kia_ev6"
"934","2022","suv","2","325","vit","skåne","559000","kia_ev6"
"4385","2020","suv","2","204","vit","stockholm","298900","kia_niro"
"2401","2023","suv","2","325","grå","västernorrland","579900","kia_ev6"
"777","2023","suv","2","229","svart","kronoberg","625300","kia_ev6"
"5434","2019","suv","2","204","grå","stockholm","281900","kia_niro"
"4394","2022","suv","4","325","svart","stockholm","501900","kia_ev6"
"5004","2022","suv","2","218","grå","stockholm","451900","kia_ev6"
"3032","2022","suv","4","325","svart","stockholm","510900","kia_ev6"
"7387","2019","suv","2","204","svart","stockholm","258900","kia_niro"
"2991","2023","suv","4","325","blå","stockholm","519900","kia_ev6"
"1849","2023","suv","4","325","röd","stockholm","558900","kia_ev6"
"8908","2022","suv","4","325","svart","stockholm","476900","kia_ev6"
"7647","2021","suv","2","204","vit","västra götaland","259900","kia_soul"
"1570","2022","suv","2","204","vit","södermanland","334800","kia_ev6"
"11800","2015","suv","2","136","vit","västra götaland","110000","kia_soul"
"5165","2022","suv","4","325","blå","stockholm","517900","kia_ev6"
"3590","2021","suv","2","204","svart","stockholm","320900","kia_niro"
"3537","2022","suv","4","325","svart","stockholm","534900","kia_ev6"
"12900","2019","suv","2","204","grå","stockholm","239900","kia_niro"
"1650","2023","suv","2","204","grå","skåne","389000","kia_niro"
"5000","2021","suv","2","204","vit","skåne","309000","kia_niro"
"1400","2023","suv","2","229","grå","skåne","499000","kia_ev6"
"5848","2021","suv","2","204","svart","västra götaland","299000","kia_niro"
"1155","2024","suv","4","385","vit","västerbotten","809900","kia_ev9"
"520","2023","suv","4","585","röd","skåne","649000","kia_ev6"
"4033","2019","suv","2","111","vit","västra götaland","165000","kia_soul"
"13237","2016","suv","2","136","vit","östergötland","139900","kia_soul"
"3900","2023","suv","2","204","vit","skåne","385000","kia_niro"
"4780","2021","suv","2","204","röd","dalarna","529000","kia_ev6"
"800","2024","suv","4","385","svart","skåne","799000","kia_ev9"
"2690","2021","suv","2","204","grå","skåne","339000","kia_niro"
"5412","2021","suv","2","204","grå","skåne","279900","kia_soul"
"2000","2023","suv","4","325","vit","skåne","579000","kia_ev6"
"6032","2020","suv","2","204","svart","västra götaland","279000","kia_niro"
"1100","2024","suv","4","385","blå","västra götaland","839000","kia_ev9"
"6140","2020","suv","2","204","svart","skåne","279000","kia_niro"
"1000","2024","suv","4","325","vit","västra götaland","638400","kia_ev6"
"500","2024","suv","4","385","grå","västra götaland","819000","kia_ev9"
"5721","2020","suv","2","204","röd","norrbotten","289900","kia_soul"
"6036","2021","suv","2","204","svart","örebro","315800","kia_niro"
"2925","2023","suv","4","325","vit","västra götaland","569000","kia_ev6"
"1500","2022","kombi","2","177","grå","kalmar","334900","mg_5"
"4380","2021","suv","4","289","svart","blekinge","359800","mg_r"
"3609","2021","suv","2","143","röd","jönköping","219400","mg_zs"
"1127","2022","kombi","2","177","grå","västra götaland","309900","mg_5"
"3579","2020","suv","2","143","svart","jönköping","219900","mg_zs"
"3920","2021","suv","2","157","vit","kalmar","299800","mg_zs"
"4180","2022","suv","2","180","svart","stockholm","329900","mg_r"
"3129","2021","suv","2","143","blå","stockholm","209900","mg_zs"
"1650","2020","sedan","2","143","svart","jönköping","219900","mg_zs"
