"X","Miltal","Modellår","Hästkrafter","Län","Biltyp_halvkombi","Biltyp_kombi","Biltyp_sedan","Biltyp_suv","Drivning_2","Drivning_4","Färg_blå","Färg_brun","Färg_grå","Färg_grön","Färg_gul","Färg_ljusgrå","Färg_ljusgrön","Färg_mörkblå","Färg_mörkgrå","Färg_mörkgrön","Färg_orange","Färg_röd","Färg_silver","Färg_svart","Färg_vit","Pris..Y.","Märkell"
57,14821,2018,150,"västmanland",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,159700,"nissan_leaf"
58,1528,2022,150,"stockholm",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,238900,"nissan_leaf"
59,3234,2021,150,"östergötland",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,198900,"nissan_leaf"
60,5892,2019,150,"skåne",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,197800,"nissan_leaf"
61,8491,2021,218,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,217900,"nissan_leaf"
62,8323,2018,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,159900,"nissan_leaf"
63,2149,2022,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,210900,"nissan_leaf"
64,8043,2021,218,"stockholm",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,221900,"nissan_leaf"
65,2826,2022,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,205900,"nissan_leaf"
66,2741,2022,150,"stockholm",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,205900,"nissan_leaf"
67,7385,2019,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,184900,"nissan_leaf"
68,4109,2022,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,189900,"nissan_leaf"
69,3158,2022,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,199900,"nissan_leaf"
70,3986,2021,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,181900,"nissan_leaf"
