"Miltal","Modellår","Hästkrafter","Färg","Län","Biltyp_halvkombi","Biltyp_kombi","Biltyp_sedan","Biltyp_suv","Drivning_2","Drivning_4","Pris..Y.","Märkell"
4423,2021,204,"vit","stockholm",0,0,0,1,1,0,390900,"volkswagen_id.4"
2350,2021,204,"mörkgrå","skåne",0,0,0,1,1,0,449900,"volkswagen_id.4"
2207,2022,300,"mörkgrå","stockholm",0,0,0,1,0,1,494900,"volkswagen_id.4"
2789,2016,82,"vit","västerbotten",1,0,0,0,1,0,129900,"volkswagen_e-up!"
7700,2015,82,"silver","västra götaland",1,0,0,0,1,0,89000,"volkswagen_e-up!"
4478,2020,83,"gul","stockholm",1,0,0,0,1,0,153900,"volkswagen_e-up!"
9471,2020,83,"vit","stockholm",1,0,0,0,1,0,144900,"volkswagen_e-up!"
3438,2022,300,"vit","stockholm",0,0,0,1,0,1,449900,"volkswagen_id.4"
3820,2020,204,"vit","stockholm",1,0,0,0,1,0,304900,"volkswagen_id.3"
2143,2022,300,"vit","stockholm",0,0,0,1,0,1,455900,"volkswagen_id.4"
3253,2021,204,"mörkgrå","stockholm",1,0,0,0,1,0,278900,"volkswagen_id.3"
5500,2021,204,"mörkgrå","stockholm",1,0,0,0,1,0,351900,"volkswagen_id.3"
4969,2021,204,"mörkgrå","stockholm",0,0,0,1,1,0,379900,"volkswagen_id.4"
4431,2021,170,"grå","stockholm",0,0,0,1,1,0,324900,"volkswagen_id.4"
4979,2021,204,"blå","stockholm",0,0,0,1,1,0,390900,"volkswagen_id.4"
2967,2022,300,"silver","stockholm",0,0,0,1,0,1,458900,"volkswagen_id.5"
4878,2018,136,"vit","stockholm",1,0,0,0,1,0,189900,"volkswagen_e-golf"
2969,2021,170,"grå","stockholm",0,0,0,1,1,0,339900,"volkswagen_id.4"
5659,2021,204,"blå","stockholm",0,0,0,1,1,0,368900,"volkswagen_id.4"
4388,2020,136,"vit","stockholm",1,0,0,0,1,0,211900,"volkswagen_e-golf"
2226,2020,83,"vit","västra götaland",1,0,0,0,1,0,140000,"volkswagen_e-up!"
1700,2020,83,"vit","blekinge",1,0,0,0,1,0,189900,"volkswagen_e-up!"
2008,2020,83,"vit","blekinge",1,0,0,0,1,0,179900,"volkswagen_e-up!"
6231,2021,204,"vit","stockholm",0,0,0,1,1,0,407900,"volkswagen_id.4"
5800,2018,136,"svart","västmanland",1,0,0,0,1,0,209900,"volkswagen_e-golf"
8200,2014,82,"silver","stockholm",1,0,0,0,1,0,119900,"volkswagen_e-up!"
6200,2017,82,"vit","blekinge",1,0,0,0,1,0,139000,"volkswagen_e-up!"
11865,2019,136,"vit","norrbotten",1,0,0,0,1,0,199900,"volkswagen_e-golf"
5211,2018,136,"vit","västra götaland",1,0,0,0,1,0,179800,"volkswagen_e-golf"
6624,2019,136,"vit","västra götaland",1,0,0,0,1,0,184800,"volkswagen_e-golf"
5329,2018,136,"vit","västra götaland",1,0,0,0,1,0,189900,"volkswagen_e-golf"
4491,2022,204,"mörkgrå","stockholm",0,0,0,1,1,0,449900,"volkswagen_id.4"
2923,2020,136,"vit","västerbotten",1,0,0,0,1,0,239000,"volkswagen_e-golf"
4315,2020,83,"silver","dalarna",1,0,0,0,1,0,169900,"volkswagen_e-up!"
9082,2021,204,"grå","västmanland",1,0,0,0,1,0,239000,"volkswagen_id.3"
10135,2021,204,"blå","värmland",0,0,0,1,1,0,329500,"volkswagen_id.4"
2787,2021,204,"grå","södermanland",1,0,0,0,1,0,274800,"volkswagen_id.3"
1700,2023,204,"grå","västra götaland",0,0,0,1,1,0,419900,"volkswagen_id.4"
5843,2020,207,"röd","stockholm",1,0,0,0,1,0,388800,"volkswagen_id.3"
3000,2021,204,"vit","södermanland",1,0,0,0,1,0,307000,"volkswagen_id.3"
1560,2023,207,"blå","västra götaland",0,0,0,1,1,0,439900,"volkswagen_id.4"
4530,2021,204,"gul","stockholm",0,0,0,1,1,0,378900,"volkswagen_id.4"
5400,2022,300,"blå","norrbotten",0,0,0,1,0,1,549900,"volkswagen_id.4"
1500,2023,300,"svart","södermanland",0,0,0,1,0,1,549000,"volkswagen_id.4"
1740,2022,300,"grå","södermanland",0,0,0,1,0,1,467500,"volkswagen_id.4"
2940,2022,300,"vit","uppsala",0,0,0,1,0,1,484900,"volkswagen_id.4"
1045,2023,304,"svart","västra götaland",0,0,0,1,0,1,549900,"volkswagen_id.4"
3229,2022,498,"vit","stockholm",0,0,1,0,0,1,484900,"tesla_3"
2723,2021,441,"svart","stockholm",0,0,1,0,0,1,434900,"tesla_3"
10500,2019,423,"grå","skåne",0,0,0,1,0,1,549900,"tesla_x"
6315,2021,446,"grå","västra götaland",0,0,1,0,0,1,438400,"tesla_3"
5902,2021,441,"vit","norrbotten",0,0,1,0,0,1,448500,"tesla_3"
8183,2020,491,"vit","stockholm",0,0,1,0,0,1,365900,"tesla_3"
7234,2021,441,"vit","västmanland",0,0,1,0,0,1,399800,"tesla_3"
5200,2022,498,"blå","kalmar",0,0,1,0,0,1,459700,"tesla_3"
3899,2020,510,"vit","skåne",0,0,1,0,0,1,410900,"tesla_3"
5620,2021,513,"grå","stockholm",0,0,1,0,0,1,428900,"tesla_3"
7308,2019,476,"röd","stockholm",0,0,1,0,0,1,344900,"tesla_3"
8589,2021,441,"vit","stockholm",0,0,1,0,0,1,374800,"tesla_3"
5321,2021,498,"vit","stockholm",0,0,1,0,0,1,406900,"tesla_3"
11524,2015,423,"röd","västra götaland",1,0,0,0,0,1,318900,"tesla_s"
17069,2019,762,"grå","västra götaland",1,0,0,0,0,1,500000,"tesla_s"
16454,2015,334,"vit","västra götaland",0,0,1,0,0,1,259900,"tesla_s"
10823,2016,423,"svart","västra götaland",1,0,0,0,0,1,439900,"tesla_s"
15949,2016,540,"vit","västra götaland",0,0,0,1,0,1,459900,"tesla_x"
15288,2015,334,"svart","västra götaland",1,0,0,0,0,1,269900,"tesla_s"
2933,2020,441,"svart","halland",0,0,1,0,0,1,409900,"tesla_3"
2499,2021,330,"vit","västra götaland",0,0,1,0,0,1,387800,"tesla_3"
15024,2015,512,"grå","västra götaland",1,0,0,0,0,1,375000,"tesla_s"
7710,2019,463,"blå","västra götaland",0,0,1,0,0,1,349900,"tesla_3"
5718,2021,513,"vit","skåne",0,0,1,0,0,1,499900,"tesla_3"
8898,2017,423,"vit","skåne",0,0,0,1,0,1,499900,"tesla_x"
13400,2016,320,"vit","skåne",1,0,0,0,0,1,319900,"tesla_s"
1000,2022,346,"grå","skåne",0,0,0,1,0,1,509900,"tesla_y"
7995,2020,512,"grå","skåne",1,0,0,0,0,1,579900,"tesla_s"
9997,2020,441,"vit","skåne",0,0,1,0,0,1,349900,"tesla_3"
6998,2020,815,"vit","skåne",1,0,0,0,0,1,899900,"tesla_s"
8998,2017,525,"grå","skåne",0,0,0,1,0,1,699900,"tesla_x"
3798,2019,772,"svart","skåne",1,0,0,0,0,1,849900,"tesla_s"
3298,2020,513,"vit","skåne",0,0,1,0,0,1,519900,"tesla_3"
13100,2018,334,"vit","södermanland",1,0,0,0,0,1,390000,"tesla_s"
9198,2020,259,"röd","södermanland",0,0,1,0,0,1,319900,"tesla_3"
6906,2018,525,"svart","uppsala",1,0,0,0,0,1,399900,"tesla_s"
3163,2022,346,"vit","uppsala",0,0,0,1,0,1,589700,"tesla_y"
1600,2023,300,"vit","västmanland",0,0,0,1,0,1,506000,"tesla_y"
5800,2022,513,"vit","västmanland",0,0,1,0,0,1,469000,"tesla_3"
3451,2021,325,"vit","stockholm",0,0,1,0,0,1,362900,"tesla_3"
5866,2021,498,"vit","stockholm",0,0,1,0,0,1,402900,"tesla_3"
5045,2021,514,"blå","stockholm",0,0,0,1,0,1,489900,"tesla_y"
2357,2021,514,"vit","stockholm",0,0,0,1,0,1,491900,"tesla_y"
7740,2021,346,"vit","stockholm",0,0,0,1,0,1,483900,"tesla_y"
3713,2019,441,"blå","stockholm",0,0,1,0,0,1,376900,"tesla_3"
1605,2023,204,"svart","stockholm",0,0,0,1,1,0,388900,"kia_niro"
4550,2020,204,"vit","stockholm",0,0,0,1,1,0,299000,"kia_niro"
1100,2023,239,"grå","skåne",0,0,0,1,1,0,529000,"kia_ev6"
934,2022,325,"vit","skåne",0,0,0,1,1,0,559000,"kia_ev6"
4385,2020,204,"vit","stockholm",0,0,0,1,1,0,298900,"kia_niro"
2401,2023,325,"grå","västernorrland",0,0,0,1,1,0,579900,"kia_ev6"
777,2023,229,"svart","kronoberg",0,0,0,1,1,0,625300,"kia_ev6"
5434,2019,204,"grå","stockholm",0,0,0,1,1,0,281900,"kia_niro"
4394,2022,325,"svart","stockholm",0,0,0,1,0,1,501900,"kia_ev6"
5004,2022,218,"grå","stockholm",0,0,0,1,1,0,451900,"kia_ev6"
3032,2022,325,"svart","stockholm",0,0,0,1,0,1,510900,"kia_ev6"
7387,2019,204,"svart","stockholm",0,0,0,1,1,0,258900,"kia_niro"
2991,2023,325,"blå","stockholm",0,0,0,1,0,1,519900,"kia_ev6"
1849,2023,325,"röd","stockholm",0,0,0,1,0,1,558900,"kia_ev6"
8908,2022,325,"svart","stockholm",0,0,0,1,0,1,476900,"kia_ev6"
7647,2021,204,"vit","västra götaland",0,0,0,1,1,0,259900,"kia_soul"
1570,2022,204,"vit","södermanland",0,0,0,1,1,0,334800,"kia_ev6"
11800,2015,136,"vit","västra götaland",0,0,0,1,1,0,110000,"kia_soul"
5165,2022,325,"blå","stockholm",0,0,0,1,0,1,517900,"kia_ev6"
3590,2021,204,"svart","stockholm",0,0,0,1,1,0,320900,"kia_niro"
